,expId,Compound,tempNLSDf
39,2,Danoprevir (ITMN-191),248.2923<>273.8177<>288.6688<>313.266<>329.0453<>351.7861<>391.6985<>430.6827<>460.8491<>492.4077<>526.751<>571.7684<>603.7912<>614.0013<>612.6091<>613.5372<>634.4216<>603.3271<>646.0241<>659.4829<>646.4882<>665.9803<>691.9698<>769.01<>730.954
40,2,Ziprasidone HCl,340.6478<>351.7861<>384.2729<>417.2239<>445.5338<>463.6337<>490.5513<>529.0715<>550.42<>575.9453<>605.1835<>620.9628<>644.1677<>635.3499<>643.7036<>661.3393<>663.6598<>658.0906<>664.1239<>669.6931<>704.0363<>702.1799<>708.2132<>778.2919<>758.3358
41,2,Thalidomide,282.1714<>320.2274<>352.2502<>373.1346<>418.1521<>436.2519<>478.4848<>503.082<>531.856<>562.4865<>601.0066<>648.3446<>652.5215<>659.0189<>665.5162<>663.6598<>650.6651<>651.5933<>642.3113<>641.3831<>663.6598<>671.5495<>702.644<>765.2972<>828.4145
42,2,Cilomilast,282.6355<>310.9455<>355.4989<>397.7318<>429.7545<>473.8438<>494.2641<>521.1818<>552.2764<>579.194<>626.532<>690.1134<>690.5775<>687.7929<>679.9033<>673.8699<>648.8087<>686.4006<>693.8262<>654.3779<>677.5828<>727.7053<>721.2079<>833.0555<>810.3147
43,2,Dimesna,273.8177<>295.6303<>352.2502<>381.9525<>398.66<>433.4673<>467.8105<>507.723<>528.6074<>561.0942<>626.9961<>672.9418<>713.7823<>705.4286<>717.9592<>738.8436<>724.4566<>746.7333<>761.1204<>749.982<>792.679<>837.2324<>856.7245<>903.1343<>941.1902
44,2,Moxifloxacin HCl,401.4446<>423.7213<>461.7773<>487.3026<>515.6126<>499.3692<>531.392<>529.0715<>521.6459<>514.2203<>484.054<>444.6057<>402.8369<>371.2782<>347.1451<>312.3378<>265.4639<>239.9386<>213.9491<>194.457<>175.429<>165.6829<>155.0087<>135.0524<>132.2679
45,2,Methotrexate,321.1557<>345.2887<>377.3115<>401.9087<>416.2957<>427.8981<>426.9699<>421.4008<>412.5829<>384.7371<>345.2887<>325.7966<>303.5199<>269.1767<>254.3256<>219.0542<>190.7442<>176.8212<>168.4675<>149.9036<>125.7705<>120.6654<>100.7092<>100.2451<>98.38873
46,2,Pimasertib (AS-703026),284.0278<>307.2327<>345.7528<>373.1346<>394.4831<>414.9034<>381.9525<>343.8965<>300.2713<>241.7949<>195.3852<>184.2468<>150.3677<>114.1681<>94.21185<>81.68121<>74.25565<>82.60941<>73.79154<>59.40451<>55.69173<>58.01222<>59.40451<>74.25565<>64.04549
47,2,JIB-04,308.1609<>339.2555<>360.604<>392.6267<>434.8596<>478.9489<>499.8333<>541.138<>569.4479<>623.7474<>686.4006<>743.9487<>780.6124<>766.6895<>779.2202<>778.2919<>791.2867<>869.2551<>852.0835<>874.3602<>840.4811<>873.432<>840.4811<>913.8085<>958.826
48,2,STF-118804,285.4201<>316.9788<>355.4989<>388.4498<>386.1293<>389.378<>329.5094<>270.1049<>217.6618<>188.8878<>174.5008<>163.3624<>137.3729<>113.2399<>78.89662<>53.37124<>32.95094<>22.27669<>9.746053<>6.033271<>4.17688<>1.856391<>0.9281955<>0.9281955<>0.9281955
