,expId,Compound,tempConfluenceDf
31,2,Ivacaftor (VX-770),38.29714<>40.29413<>44.38591<>48.55534<>51.78955<>57.9305<>62.63754<>66.84364<>74.83332<>78.20775<>83.61204<>88.71387<>92.68898<>93.02657<>93.78156<>95.22221<>95.64108<>96.99933<>97.65824<>97.24552<>97.82775<>98.28015<>98.28131<>99.13171<>98.95232
32,2,Ondansetron HCl,48.79856<>50.7193<>55.49133<>59.70145<>66.03123<>71.30961<>77.89104<>82.39632<>88.54429<>92.40411<>94.92077<>96.76377<>97.68326<>98.33774<>98.27889<>98.55187<>98.90148<>99.01662<>99.09088<>99.1621<>99.47633<>99.76866<>99.75512<>99.76293<>99.89568
33,2,S3I-201,49.12812<>51.01942<>57.68843<>64.08267<>68.90237<>74.67885<>85.13386<>89.36712<>93.08292<>96.96728<>97.9246<>98.35018<>99.45464<>99.47758<>99.11009<>99.15802<>99.40891<>99.5787<>99.77666<>99.75622<>99.76438<>99.79988<>99.79373<>99.96504<>100
34,2,Tenofovir Disoproxil Fumarate,44.60515<>46.0939<>52.38644<>60.11066<>63.98285<>68.71345<>74.34363<>81.72538<>88.95791<>91.8904<>95.33909<>96.75487<>97.88019<>98.16893<>98.38479<>98.49896<>99.0296<>98.38783<>99.08805<>99.28022<>99.72369<>99.82185<>99.86198<>99.84975<>99.94128
35,2,ABT-751 (E7010),43.72526<>44.99212<>44.96648<>45.07859<>43.324<>43.44177<>41.84578<>41.58315<>39.81529<>40.89156<>41.79921<>42.94312<>43.57606<>44.11742<>43.58055<>43.22965<>42.65025<>41.39996<>43.63808<>41.45336<>41.93164<>42.74937<>43.26832<>43.04425<>41.73595
36,2,Clopidogrel,40.71224<>40.88776<>46.95735<>51.75694<>57.17182<>61.56241<>68.21796<>73.03286<>78.71143<>84.42271<>88.98409<>91.20516<>93.7198<>93.00474<>93.37463<>93.73051<>93.9213<>93.44102<>94.8483<>95.42316<>95.66623<>96.59219<>97.11911<>97.11199<>98.47128
37,2,WZ4002,41.33212<>41.21283<>45.77455<>50.55377<>54.00198<>55.3187<>61.92074<>66.33227<>71.3371<>75.68447<>77.86478<>81.23673<>83.38499<>85.29833<>84.70607<>83.55837<>84.78316<>83.2579<>83.4969<>85.29288<>85.79837<>86.26795<>86.68407<>87.46442<>90.04275
38,2,Tianeptine sodium,43.52453<>45.00787<>51.32086<>55.82402<>62.62302<>70.01382<>76.54951<>81.15598<>83.88007<>88.58179<>92.29145<>95.76094<>96.84411<>96.45065<>96.23106<>95.63273<>95.98502<>96.51269<>96.62016<>96.74741<>96.29676<>97.32827<>98.00735<>98.7752<>99.23511
39,2,Danoprevir (ITMN-191),36.10929<>40.38371<>47.12891<>54.20692<>59.78345<>66.83762<>66.26157<>73.57965<>76.60387<>83.31156<>85.50377<>90.99559<>93.60797<>95.00234<>94.73923<>95.91097<>96.50398<>97.02827<>97.51913<>98.15794<>98.50602<>99.3969<>99.22289<>99.75816<>99.53401
40,2,Ziprasidone HCl,50.36781<>51.16144<>54.83281<>62.06559<>67.57979<>68.86977<>76.61885<>81.71439<>88.04501<>91.76958<>93.44923<>96.11598<>97.66853<>97.48459<>98.08043<>98.5154<>99.12397<>98.89947<>98.97781<>99.17474<>99.2416<>99.15886<>99.51031<>99.7978<>99.74158
41,2,Thalidomide,41.10087<>43.28291<>47.91495<>50.54231<>59.04736<>64.74027<>70.00766<>75.25833<>80.9268<>87.10495<>91.2205<>94.57897<>96.66286<>97.55083<>97.20918<>96.74768<>97.31653<>98.23551<>97.61914<>98.31088<>98.07512<>98.69659<>98.82473<>99.38301<>99.51978
42,2,Cilomilast,44.2957<>47.15973<>53.31882<>57.12484<>62.62302<>71.81054<>77.8062<>82.64865<>86.71273<>90.70056<>95.90447<>97.80392<>98.74364<>98.06661<>97.55988<>97.41054<>97.34422<>98.67655<>98.69943<>98.46893<>98.16064<>99.19014<>99.29162<>99.8548<>99.66566
43,2,Dimesna,40.79561<>42.282<>48.09095<>53.05453<>57.7495<>62.85822<>69.6839<>74.80569<>83.24152<>87.89841<>93.8152<>95.7074<>97.80862<>98.28159<>98.18593<>98.41602<>98.88538<>99.17771<>98.86514<>99.05745<>99.39828<>99.51238<>99.82778<>99.89998<>99.93285
44,2,Moxifloxacin HCl,55.94572<>57.34596<>62.14011<>67.35907<>73.0703<>72.5424<>81.09292<>83.54712<>85.98288<>88.47362<>89.79201<>89.27263<>88.7062<>90.16418<>89.48261<>88.69225<>89.07085<>85.04883<>87.42505<>86.57092<>85.5718<>86.7519<>86.95996<>85.41556<>86.05527
45,2,Methotrexate,46.59192<>48.17797<>56.33186<>62.09404<>65.37874<>71.1828<>74.20348<>75.63943<>78.60742<>78.79744<>78.21064<>80.91338<>82.52556<>78.26357<>78.38983<>77.32109<>77.44363<>79.56495<>78.26383<>75.27008<>74.77011<>73.83419<>72.72739<>76.30139<>71.38137
46,2,Pimasertib (AS-703026),42.05839<>45.46136<>50.53144<>56.18563<>61.2178<>66.30809<>64.71153<>64.62947<>67.08083<>70.71326<>70.63522<>72.73015<>70.08896<>61.26347<>56.5942<>53.12872<>50.20481<>51.08008<>47.29111<>43.64605<>43.7346<>41.4017<>41.36051<>44.68998<>40.53672
47,2,JIB-04,47.16966<>48.72672<>54.65559<>57.0483<>63.55829<>72.21507<>77.3673<>84.20334<>90.53816<>95.20964<>96.89185<>98.43542<>98.66882<>99.00371<>99.37769<>99.45533<>99.53898<>99.73875<>99.77149<>99.84491<>99.92283<>99.96497<>100<>100<>99.91365
48,2,STF-118804,44.28493<>46.54992<>51.85213<>55.52629<>58.11663<>62.94339<>66.54362<>70.30759<>72.3197<>71.68219<>67.3644<>63.50774<>56.62011<>49.51383<>44.50286<>41.30221<>38.89789<>37.49247<>36.05493<>35.12579<>34.06568<>33.44129<>33.14716<>36.95617<>32.77534
49,2,ABT-737,57.57114<>60.39096<>66.05582<>71.8037<>72.84068<>74.39959<>80.77924<>85.31533<>89.40235<>92.71371<>94.59818<>96.20468<>97.14984<>96.56699<>97.60969<>97.78231<>97.63807<>98.07587<>98.44191<>98.31364<>98.6144<>99.10028<>99.29383<>99.39793<>99.62097
50,2,YM201636,36.78278<>37.25616<>42.10923<>48.42693<>52.3608<>54.63107<>59.21854<>61.38118<>64.12958<>66.63309<>69.57042<>70.5479<>73.56799<>78.49442<>81.26423<>83.69832<>84.38556<>83.12659<>84.93588<>84.87109<>85.36686<>85.35519<>86.36735<>85.12267<>86.56014
51,2,Nintedanib (BIBF 1120),39.17903<>38.24872<>40.91028<>43.10614<>46.30975<>49.38985<>52.48515<>54.60612<>56.69927<>59.60911<>60.99145<>61.29523<>61.38414<>61.24378<>60.56219<>61.04285<>61.79067<>61.62735<>63.74149<>62.74501<>64.60819<>64.90735<>65.43717<>63.37374<>68.47259
52,2,Raloxifene HCl,38.88262<>40.65345<>45.67957<>50.77862<>53.99282<>58.2608<>62.08949<>67.63767<>71.92211<>78.58228<>83.8217<>88.18143<>90.68095<>90.0127<>90.00946<>90.38689<>90.38226<>92.37717<>92.11427<>91.63896<>92.55691<>93.343<>94.05827<>95.18913<>95.79706
53,2,Dasatinib,27.96765<>27.57487<>28.25714<>28.78432<>29.1076<>31.35229<>28.64523<>28.80001<>28.2941<>28.32719<>28.67278<>30.36756<>30.41652<>27.28779<>26.70045<>26.71122<>26.30554<>28.46147<>26.6447<>26.3608<>26.52043<>26.89199<>26.15406<>29.22378<>27.62544
54,2,Vincristine,40.10355<>42.15723<>44.63175<>45.46889<>43.74178<>40.66838<>41.86671<>41.02349<>39.42515<>38.87358<>39.24169<>40.73234<>42.86513<>42.39707<>42.40163<>42.47478<>41.05361<>40.05228<>40.34966<>39.83539<>40.87871<>39.29059<>38.012<>40.72446<>38.20989
55,2,Nilotinib (AMN-107),32.87522<>34.48719<>38.27185<>40.79111<>43.67402<>45.80928<>46.14666<>49.1869<>51.09547<>53.84372<>55.42061<>56.53557<>57.48279<>55.16487<>55.7151<>54.3866<>53.38328<>54.10227<>52.23231<>52.41801<>51.73146<>51.0226<>51.23432<>56.78265<>54.4538
56,2,Entecavir Hydrate,39.27878<>39.32788<>44.9296<>49.12848<>53.68259<>58.52555<>64.10278<>69.57186<>76.67004<>79.87489<>87.10122<>92.74507<>94.75948<>95.10458<>96.70065<>96.85275<>97.73278<>98.41573<>98.66228<>99.05074<>99.3142<>99.57483<>99.68086<>99.84941<>99.94315
57,2,Sunitinib Malate,34.85853<>37.41276<>40.6447<>40.58617<>43.71117<>43.61344<>44.50817<>43.61344<>44.07845<>43.81002<>42.64285<>41.64324<>41.5379<>42.07401<>40.95516<>40.53671<>39.83697<>38.32152<>36.86547<>36.11992<>36.53493<>35.05476<>34.05684<>35.79125<>33.46258
58,2,Avagacestat (BMS-708163),37.26928<>38.29003<>41.90525<>47.47913<>50.4612<>53.60202<>60.35655<>66.20744<>74.72936<>80.1244<>84.78419<>90.03687<>92.85636<>93.15386<>94.38438<>94.36518<>95.22276<>95.21648<>96.3036<>96.1202<>95.88202<>96.9507<>97.77719<>97.90229<>98.74551
