,expId,Compound,tempSytoxDf
64,2,FT-207 (NSC 148958),2.320489<>3.712782<>5.105075<>3.248684<>6.961466<>6.497369<>8.35376<>10.21015<>9.281956<>14.38703<>23.66899<>33.87914<>61.725<>101.6374<>139.6934<>182.3904<>232.513<>294.238<>321.6198<>369.4218<>370.8141<>392.6267<>399.1241<>397.2677<>426.5059
65,2,Iniparib (BSI-201),6.497369<>6.961466<>8.817858<>4.17688<>3.712782<>1.392293<>6.033271<>8.35376<>11.60244<>15.31523<>17.63572<>23.66899<>40.8406<>76.57613<>103.4938<>154.5446<>209.3081<>275.21<>284.0278<>313.266<>353.1784<>382.4166<>413.5111<>451.103<>416.2957
66,2,Dexamethasone (DHAP),0.9281955<>2.320489<>2.784587<>2.320489<>3.712782<>1.856391<>3.248684<>3.712782<>2.320489<>1.392293<>4.17688<>10.67425<>16.70752<>19.02801<>31.55865<>47.33797<>78.43253<>106.2784<>138.7652<>165.6829<>199.0979<>209.3081<>233.4412<>219.0542<>235.7617
67,2,Quisinostat (JNJ-26481585),3.248684<>4.17688<>5.105075<>6.497369<>21.3485<>45.94568<>76.57613<>116.0244<>180.0699<>256.182<>313.7301<>341.1118<>356.4271<>376.8474<>361.0681<>333.6863<>310.4814<>235.2976<>207.9158<>120.2013<>69.61466<>49.65846<>34.80733<>24.59718<>23.20489
68,2,Fluoxetine HCl,6.497369<>6.961466<>7.425564<>4.640978<>5.569173<>7.425564<>9.746053<>12.53064<>15.31523<>21.8126<>26.45357<>45.94568<>71.93516<>107.6707<>151.76<>190.7442<>234.3694<>264.0716<>308.625<>325.7966<>359.6758<>383.3448<>390.7703<>378.7038<>405.6215
69,2,LY294002,7.889662<>12.06654<>13.92293<>5.569173<>10.21015<>7.425564<>7.889662<>10.21015<>7.425564<>12.53064<>18.09981<>38.05602<>61.725<>72.86335<>100.7092<>138.3011<>169.8598<>213.0209<>220.4464<>238.0822<>247.8282<>270.569<>282.6355<>325.3326<>311.8737
70,2,Ivermectin,12.06654<>13.45884<>13.45884<>14.38703<>9.746053<>16.70752<>20.8844<>18.09981<>19.49211<>20.4203<>34.34324<>38.52011<>50.58666<>61.26091<>82.1453<>107.2066<>130.4115<>151.76<>182.3904<>199.562<>208.3799<>213.485<>237.6181<>268.7126<>288.2047
71,2,SGI-1027,6.497369<>10.67425<>74.71974<>178.2135<>250.1487<>324.4043<>452.4953<>539.7457<>598.6861<>633.4935<>644.6318<>672.0135<>697.0748<>733.2745<>706.3568<>698.0031<>668.7649<>561.5583<>562.0224<>506.7948<>470.131<>463.1696<>428.8263<>382.4166<>392.6267
72,2,ZCL278,15.77932<>16.24342<>17.17162<>10.67425<>8.35376<>6.961466<>15.31523<>17.17162<>11.13835<>14.38703<>20.8844<>34.80733<>58.47632<>109.063<>171.2521<>231.1207<>305.3763<>366.6372<>439.0365<>474.3079<>518.3972<>555.0609<>559.2378<>536.0329<>593.1169
73,2,GSK690693,11.60244<>12.06654<>13.45884<>11.13835<>12.99474<>12.53064<>17.17162<>20.4203<>22.74079<>21.8126<>37.12782<>58.47632<>73.79154<>104.8861<>148.5113<>227.4079<>277.0664<>301.1995<>339.2555<>367.1013<>392.1626<>400.0523<>398.1959<>370.8141<>374.0628
74,2,GSK1059615,29.70226<>26.91767<>28.77406<>22.27669<>21.8126<>26.45357<>39.91241<>61.26091<>81.68121<>103.0297<>124.8423<>152.2241<>163.3624<>181.4622<>182.8545<>176.8212<>177.2854<>173.1085<>168.9316<>155.4727<>144.7985<>141.0857<>126.2346<>106.2784<>92.81956
75,2,TW-37,12.06654<>12.99474<>10.21015<>7.425564<>7.425564<>8.817858<>12.06654<>15.31523<>16.24342<>17.63572<>15.31523<>19.49211<>28.77406<>52.44305<>69.15057<>90.49906<>119.7372<>124.8423<>123.9141<>128.091<>127.6269<>129.9474<>139.2293<>138.3011<>147.119
76,2,Cefoselis Sulfate,17.63572<>14.38703<>15.31523<>11.60244<>13.45884<>12.06654<>10.67425<>11.13835<>10.67425<>8.35376<>9.746053<>20.8844<>40.8406<>71.47105<>103.9579<>148.9754<>201.4184<>233.9053<>269.6408<>267.7844<>297.0226<>323.9402<>345.2887<>332.294<>360.1399
77,2,Malotilate,28.30996<>26.91767<>29.70226<>19.49211<>10.21015<>8.817858<>8.817858<>7.889662<>6.033271<>8.35376<>7.425564<>12.53064<>19.49211<>37.59192<>65.90189<>109.5271<>140.6216<>197.2415<>218.59<>256.6461<>267.7844<>297.4867<>304.9122<>337.8632<>308.625
78,2,Meropenem,15.31523<>15.77932<>11.60244<>6.961466<>4.17688<>5.569173<>6.961466<>5.105075<>8.817858<>11.60244<>12.99474<>23.20489<>38.98421<>63.58139<>102.1015<>129.4833<>179.1417<>247.3641<>274.2818<>290.5252<>304.4482<>316.0506<>330.4376<>380.5602<>381.9525
