,expId,Compound,tempConfluenceDf
34,3,Tenofovir Disoproxil Fumarate,33.15311<>36.44528<>40.93674<>48.05177<>53.58484<>61.08553<>66.90015<>74.00668<>79.78372<>84.29004<>87.6273<>90.79057<>95.32064<>96.80868<>98.72353<>99.77528<>99.82468<>99.90681<>100<>100<>100<>100<>100<>100<>100
35,3,ABT-751 (E7010),36.09147<>37.0615<>33.92345<>30.09497<>26.37234<>26.26002<>28.01012<>30.46578<>34.3071<>36.62135<>37.53619<>37.758<>38.62883<>36.68124<>36.03566<>36.23065<>38.40275<>38.42838<>40.05145<>38.34597<>39.29466<>39.86929<>41.39845<>42.44867<>42.7171
36,3,Clopidogrel,34.64135<>38.59797<>44.00563<>47.92184<>54.23029<>62.44455<>67.94871<>76.07781<>82.34801<>86.11475<>91.45161<>94.80341<>97.92453<>99.43273<>99.75561<>99.87103<>100<>100<>100<>100<>99.93679<>99.97285<>100<>100<>100
37,3,WZ4002,45.85868<>47.23771<>52.73418<>60.51869<>69.29362<>76.12221<>84.67657<>90.49058<>95.12115<>97.36902<>98.91308<>99.77577<>99.83932<>99.88229<>99.89313<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100
38,3,Tianeptine sodium,31.47711<>33.31898<>38.97235<>43.45268<>50.42702<>60.06746<>68.48039<>76.23506<>85.03764<>91.58826<>96.21711<>98.93919<>99.63092<>99.91289<>99.93319<>99.97997<>100<>100<>100<>100<>100<>100<>100<>100<>100
39,3,Danoprevir (ITMN-191),33.04646<>33.16161<>39.20976<>43.64666<>52.37352<>60.85205<>67.93137<>73.72507<>81.50012<>88.27088<>90.61137<>96.42683<>98.6251<>99.30501<>99.60598<>99.97603<>100<>100<>100<>100<>100<>100<>100<>100<>100
40,3,Ziprasidone HCl,39.2394<>42.13991<>46.45881<>52.03601<>60.83567<>67.2654<>74.79746<>82.17623<>86.77151<>93.40378<>97.66115<>98.61985<>99.6544<>99.59665<>99.93022<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100
41,3,Thalidomide,41.02486<>41.87844<>47.70116<>51.43546<>59.4769<>63.6664<>72.9164<>76.89267<>80.57816<>85.92388<>91.69954<>93.26398<>97.33069<>99.32304<>99.47412<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100
42,3,Cilomilast,35.63639<>38.53572<>44.60405<>50.7112<>58.2482<>65.67805<>73.55368<>84.8474<>89.11838<>93.30265<>97.91694<>98.5628<>99.6267<>99.88436<>99.93113<>100<>99.97685<>100<>100<>100<>100<>100<>100<>100<>100
43,3,Dimesna,33.03679<>35.82814<>40.26331<>45.55378<>53.52958<>57.29567<>67.02648<>74.34722<>82.77388<>87.40666<>93.32394<>97.95879<>99.27961<>99.42148<>99.74427<>99.7467<>100<>100<>100<>100<>100<>100<>100<>100<>100
44,3,Moxifloxacin HCl,43.3892<>44.916<>52.05432<>59.46321<>67.56257<>76.93697<>86.28272<>91.79935<>95.75396<>98.56569<>98.09177<>99.34073<>99.90495<>99.98066<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100
45,3,Methotrexate,37.90754<>40.19147<>45.35775<>52.81635<>55.15176<>64.24583<>69.61329<>72.70686<>76.60905<>79.93182<>80.5526<>84.66643<>85.79424<>82.83825<>81.39346<>84.4411<>85.3091<>85.2484<>84.89057<>84.91241<>83.99439<>83.7634<>82.22742<>83.47024<>83.5052
46,3,Pimasertib (AS-703026),38.39569<>42.24614<>47.59007<>54.66289<>57.84581<>66.09604<>71.12811<>75.74946<>78.99866<>82.03194<>87.70335<>90.43166<>93.62648<>96.69588<>96.00602<>98.5498<>99.50955<>99.82496<>99.93271<>99.93611<>99.95475<>99.96953<>100<>100<>99.97894
47,3,JIB-04,38.74786<>41.18106<>47.27094<>52.48301<>61.54918<>67.36633<>71.7668<>79.1335<>85.92429<>90.43573<>94.28921<>97.55207<>99.04585<>99.74794<>99.88686<>99.90452<>99.94673<>99.95744<>99.96877<>100<>100<>100<>100<>100<>100
48,3,STF-118804,34.26647<>36.19564<>41.36818<>45.96892<>48.60411<>54.59874<>56.83313<>57.67097<>57.93953<>62.44232<>66.48989<>70.986<>70.62547<>70.46894<>69.67139<>67.98498<>69.30633<>69.37196<>66.26852<>63.02373<>59.84624<>58.50332<>57.27115<>55.75111<>54.16459
49,3,ABT-737,41.88121<>42.67067<>47.59228<>53.52641<>59.45436<>66.19293<>69.97063<>76.12491<>82.62102<>86.61086<>91.62141<>96.14777<>98.15836<>99.42957<>99.85514<>99.96056<>100<>100<>100<>99.9792<>100<>100<>100<>100<>100
