,expId,Compound,tempSytoxDf
34,3,Tenofovir Disoproxil Fumarate,0.9281955<>3.248684<>3.712782<>0.4640978<>0<>0<>0<>0.4640978<>2.320489<>4.640978<>8.817858<>8.35376<>19.49211<>13.45884<>14.38703<>19.9562<>38.98421<>58.01222<>101.1733<>121.5936<>155.0087<>184.7109<>212.0927<>262.2152<>260.3589
35,3,ABT-751 (E7010),8.35376<>7.889662<>5.569173<>3.712782<>11.60244<>23.66899<>48.26617<>78.89662<>108.5989<>138.7652<>145.7267<>168.4675<>168.0034<>166.147<>164.7547<>144.3344<>162.4342<>174.5008<>166.6111<>157.7932<>161.506<>155.0087<>162.4342<>169.8598<>170.788
36,3,Clopidogrel,6.033271<>5.569173<>6.961466<>2.784587<>2.320489<>1.856391<>4.17688<>3.248684<>2.320489<>3.712782<>6.497369<>6.961466<>9.281956<>11.13835<>20.4203<>33.41504<>49.19436<>65.90189<>99.78102<>130.4115<>178.6776<>214.8773<>240.4026<>269.6408<>278.4586
37,3,WZ4002,12.53064<>8.817858<>6.033271<>3.712782<>2.320489<>3.248684<>2.784587<>2.320489<>4.17688<>7.425564<>10.21015<>15.31523<>24.13308<>20.8844<>24.13308<>30.16636<>51.51485<>57.54812<>85.39399<>133.1961<>158.7214<>193.0647<>230.1925<>266.3921<>277.0664
38,3,Tianeptine sodium,8.817858<>6.497369<>6.033271<>4.17688<>1.856391<>5.105075<>3.248684<>6.033271<>7.425564<>4.640978<>6.961466<>4.17688<>5.569173<>11.13835<>9.281956<>13.45884<>29.70226<>62.6532<>114.1681<>150.3677<>184.2468<>225.5515<>274.2818<>323.0121<>357.8194
39,3,Danoprevir (ITMN-191),4.640978<>1.392293<>4.640978<>1.392293<>1.856391<>3.248684<>10.21015<>1.392293<>1.856391<>1.392293<>1.856391<>5.105075<>6.497369<>7.889662<>16.24342<>22.27669<>36.19963<>53.37124<>60.79681<>93.28365<>118.3449<>152.6882<>192.1365<>236.2258<>259.4307
40,3,Ziprasidone HCl,1.856391<>4.17688<>3.712782<>2.784587<>2.320489<>3.712782<>6.033271<>7.425564<>11.13835<>13.45884<>14.38703<>13.45884<>21.8126<>23.20489<>20.8844<>31.09455<>48.73027<>57.08403<>70.54286<>110.9194<>147.5831<>206.9876<>278.4586<>314.6583<>359.2117
41,3,Thalidomide,1.856391<>1.856391<>1.392293<>1.856391<>1.856391<>1.392293<>1.856391<>3.248684<>3.712782<>8.817858<>7.889662<>12.53064<>22.74079<>23.66899<>23.20489<>32.02275<>57.54812<>82.60941<>110.4553<>145.7267<>170.3239<>196.7775<>216.2696<>264.5357<>282.1714
42,3,Cilomilast,2.320489<>3.712782<>6.961466<>6.033271<>6.497369<>5.105075<>4.17688<>6.497369<>8.817858<>12.99474<>11.60244<>16.70752<>18.56391<>27.84587<>25.06128<>26.91767<>39.44831<>60.79681<>91.42726<>129.9474<>146.6549<>171.7162<>188.4237<>219.0542<>245.9718
43,3,Dimesna,1.392293<>1.392293<>1.392293<>1.392293<>2.784587<>2.784587<>4.17688<>6.033271<>4.17688<>6.497369<>6.961466<>10.67425<>19.02801<>11.60244<>12.53064<>19.02801<>29.70226<>38.98421<>66.83008<>97.92463<>128.5551<>155.0087<>195.8493<>226.9438<>244.1154
44,3,Moxifloxacin HCl,2.784587<>3.248684<>2.784587<>3.248684<>3.712782<>3.712782<>6.033271<>4.640978<>9.281956<>12.06654<>7.889662<>14.38703<>12.06654<>13.92293<>17.17162<>27.84587<>41.7688<>70.07877<>117.8808<>155.9368<>199.0979<>222.7669<>232.513<>256.6461<>255.7179
45,3,Methotrexate,1.856391<>3.712782<>3.712782<>2.320489<>8.817858<>6.497369<>8.35376<>9.281956<>9.281956<>12.99474<>20.4203<>22.27669<>32.02275<>36.66372<>56.61993<>93.28365<>144.7985<>173.1085<>206.0594<>242.7231<>295.1662<>328.5812<>361.9962<>422.329<>432.075
46,3,Pimasertib (AS-703026),4.17688<>4.17688<>4.640978<>3.248684<>2.784587<>3.712782<>3.248684<>3.248684<>8.817858<>7.889662<>6.961466<>12.53064<>23.66899<>25.06128<>37.12782<>43.16109<>51.97895<>63.1173<>77.04023<>92.81956<>109.063<>110.4553<>112.7758<>115.0962<>128.091
47,3,JIB-04,3.248684<>4.640978<>5.105075<>5.105075<>5.105075<>5.105075<>6.033271<>8.35376<>10.21015<>12.53064<>13.92293<>17.63572<>17.63572<>16.70752<>21.3485<>27.38177<>33.87914<>43.62519<>46.40978<>43.62519<>43.16109<>55.69173<>86.78629<>116.9526<>166.6111
