,expId,Compound,tempNLSDf
30,3,Lopinavir,253.8615<>253.3974<>291.9175<>340.6478<>396.3395<>465.9542<>541.6021<>615.8577<>658.0906<>717.4952<>742.5565<>801.4968<>844.1938<>793.6072<>798.2482<>809.8506<>815.8839<>708.6773<>814.9557<>741.6282<>709.6055<>695.2184<>657.6265<>641.3831<>604.2553
31,3,Ivacaftor (VX-770),244.1154<>249.6846<>310.9455<>357.3553<>417.688<>478.4848<>529.9996<>612.6091<>689.6493<>691.5057<>741.1641<>773.1869<>738.3796<>801.9609<>718.4233<>720.2797<>720.2797<>641.8472<>663.1957<>621.4269<>598.6861<>557.3814<>635.814<>582.4427<>593.1169
32,3,Ondansetron HCl,224.1592<>238.0822<>270.569<>333.2222<>375.4551<>439.0365<>492.4077<>553.2045<>620.4987<>688.7211<>703.1081<>728.1694<>770.4023<>722.6002<>691.5057<>691.9698<>694.7543<>679.9033<>651.5933<>548.5635<>539.2816<>496.1205<>489.6231<>525.8228<>529.5356
33,3,S3I-201,227.4079<>239.9386<>283.0996<>333.6863<>370.8141<>432.075<>518.8613<>584.7632<>647.8805<>684.5442<>706.3568<>718.8875<>794.5354<>776.4355<>755.0871<>714.2465<>664.1239<>637.6703<>562.9506<>544.3867<>521.6459<>498.9051<>491.4795<>484.054<>493.8
34,3,Tenofovir Disoproxil Fumarate,224.6233<>231.5848<>261.287<>308.625<>363.3885<>433.9314<>482.6617<>523.9664<>568.5198<>599.1502<>604.2553<>639.0626<>650.6651<>694.7543<>688.7211<>605.6476<>721.2079<>686.8647<>688.257<>621.891<>583.835<>632.1011<>618.1782<>593.5811<>508.6512
35,3,ABT-751 (E7010),222.3028<>221.3746<>218.1259<>208.844<>187.9596<>199.0979<>192.1365<>176.8212<>175.8931<>171.2521<>167.5393<>170.788<>171.7162<>155.0087<>157.3291<>155.0087<>170.788<>154.5446<>170.3239<>170.788<>163.3624<>142.478<>151.2959<>161.9701<>147.119
36,3,Clopidogrel,219.0542<>240.8667<>276.1382<>319.7634<>369.8859<>431.6109<>507.723<>567.1275<>620.9628<>656.6984<>677.1187<>733.7386<>786.6457<>788.5021<>765.7613<>776.4355<>744.4128<>787.5739<>693.3621<>696.6108<>749.0538<>637.2062<>611.2167<>626.532<>622.8192
37,3,WZ4002,291.4534<>295.6303<>323.9402<>371.7423<>441.8211<>497.5128<>562.9506<>606.1117<>665.9803<>687.3288<>743.4846<>778.2919<>805.6737<>810.7788<>822.8453<>834.9119<>835.8401<>803.8173<>726.313<>746.2692<>699.3953<>696.1467<>713.3183<>690.5775<>741.1641
38,3,Tianeptine sodium,193.0647<>206.5235<>230.1925<>286.3483<>323.0121<>369.4218<>448.3185<>512.364<>598.222<>653.9138<>654.3779<>740.236<>792.2149<>797.7841<>820.0607<>794.5354<>816.348<>801.0328<>710.5337<>708.6773<>677.1187<>666.4444<>670.6213<>605.1835<>612.6091
39,3,Danoprevir (ITMN-191),197.7056<>210.7004<>249.6846<>293.3098<>324.4043<>398.66<>465.9542<>524.8946<>566.6634<>637.2062<>696.1467<>721.6721<>784.7893<>741.1641<>712.3901<>768.0818<>832.1273<>729.0976<>711.926<>655.306<>595.9016<>620.4987<>583.835<>578.7299<>570.3762
40,3,Ziprasidone HCl,231.1207<>256.6461<>287.2765<>336.4709<>397.7318<>442.7493<>510.9716<>596.8297<>665.5162<>683.1519<>696.6108<>770.8664<>721.2079<>820.0607<>675.2623<>729.0976<>613.5372<>650.201<>677.5828<>619.5705<>592.1888<>639.5267<>617.2501<>562.9506<>587.0837
41,3,Thalidomide,244.5795<>261.287<>297.0226<>359.2117<>404.6933<>451.5671<>531.856<>561.5583<>612.6091<>661.8034<>639.9908<>686.4006<>712.8542<>672.0135<>622.8192<>676.1904<>706.8209<>619.5705<>612.145<>644.6318<>671.5495<>574.0889<>610.7527<>621.891<>535.1047
42,3,Cilomilast,224.6233<>236.2258<>273.3536<>310.0173<>363.3885<>433.0032<>503.082<>572.2325<>634.4216<>693.3621<>724.4566<>721.6721<>793.1431<>764.8331<>740.236<>794.0713<>808.4583<>749.0538<>742.0923<>692.8979<>685.9365<>656.2343<>653.9138<>639.5267<>588.0119
43,3,Dimesna,201.8825<>223.231<>247.8282<>288.6688<>331.8299<>374.0628<>445.0698<>513.2921<>575.4813<>614.0013<>662.7316<>725.3848<>787.5739<>710.5337<>745.8051<>691.0416<>729.5617<>731.8822<>708.2132<>624.2115<>687.3288<>669.6931<>644.1677<>566.1993<>572.6967
44,3,Moxifloxacin HCl,273.3536<>279.3869<>324.4043<>395.4113<>444.6057<>513.7562<>599.1502<>677.5828<>723.0643<>724.4566<>753.2307<>800.1046<>851.1553<>812.6352<>798.7123<>781.5406<>792.679<>695.6826<>631.173<>626.9961<>620.0346<>575.4813<>541.138<>535.5688<>531.392
45,3,Methotrexate,223.6951<>248.2923<>277.0664<>319.2993<>344.3605<>375.9192<>398.66<>409.7983<>402.3728<>371.7423<>332.294<>316.0506<>287.2765<>247.3641<>232.9771<>202.3466<>199.0979<>187.4955<>166.147<>150.8318<>132.732<>121.1295<>113.704<>104.8861<>95.60414
46,3,Pimasertib (AS-703026),228.3361<>247.8282<>277.9946<>322.5479<>366.1731<>425.5777<>461.7773<>481.7335<>503.082<>527.2151<>543.4585<>589.4042<>638.5985<>649.7369<>665.9803<>703.1081<>720.2797<>814.0275<>797.3199<>789.8944<>756.9435<>796.3918<>690.5775<>669.6931<>665.5162
47,3,JIB-04,243.1872<>258.9666<>306.7686<>368.0295<>414.4393<>495.1923<>563.4147<>636.7421<>687.7929<>758.3358<>749.982<>776.8997<>940.7262<>899.8856<>855.7963<>823.7736<>915.6649<>797.7841<>758.7999<>758.3358<>701.2517<>736.0591<>684.5442<>636.7421<>652.5215
48,3,STF-118804,199.562<>233.4412<>258.9666<>303.984<>342.0401<>388.4498<>387.0575<>364.3167<>326.7248<>297.0226<>241.7949<>202.8107<>155.0087<>89.57087<>55.22763<>39.44831<>34.34324<>28.30996<>24.13308<>18.09981<>16.24342<>13.92293<>8.35376<>6.033271<>4.17688
49,3,ABT-737,232.0489<>244.1154<>278.4586<>341.1118<>385.2011<>434.3955<>465.026<>524.4305<>591.7247<>647.4164<>667.3726<>695.2184<>715.6387<>797.7841<>716.1028<>733.7386<>728.1694<>793.1431<>728.6335<>680.8314<>685.4724<>585.6914<>535.5688<>535.5688<>498.9051
50,3,YM201636,203.2748<>184.2468<>195.8493<>224.6233<>256.6461<>284.0278<>314.1942<>329.0453<>359.6758<>375.4551<>404.2292<>452.4953<>488.6949<>512.8281<>544.3867<>603.3271<>669.229<>683.616<>710.9978<>771.7946<>773.1869<>863.2219<>872.5038<>930.9801<>911.9521
51,3,Nintedanib (BIBF 1120),232.9771<>224.1592<>232.513<>247.3641<>264.9998<>294.238<>299.343<>297.4867<>303.5199<>303.5199<>311.8737<>292.8457<>310.9455<>294.7021<>295.6303<>295.6303<>322.5479<>316.9788<>327.653<>342.0401<>326.2607<>332.294<>343.4323<>354.1066<>359.2117
52,3,Raloxifene HCl,274.2818<>278.4586<>317.907<>378.2397<>425.1136<>488.2309<>577.3376<>636.278<>685.0083<>722.1361<>787.5739<>797.7841<>768.0818<>768.0818<>692.4339<>698.9312<>747.1974<>629.3166<>572.6967<>682.2237<>618.6423<>613.5372<>634.4216<>633.4935<>554.5969
53,3,Dasatinib,286.8124<>297.9508<>321.6198<>330.9017<>354.5707<>362.4604<>371.7423<>368.4936<>358.2835<>346.681<>318.3711<>304.4482<>285.4201<>269.1767<>229.2643<>182.8545<>165.2188<>161.0419<>133.6602<>134.1243<>117.4167<>120.6654<>119.2731<>140.1575<>130.8756
54,3,Vincristine,258.0384<>240.8667<>239.4744<>237.154<>213.485<>213.9491<>196.3134<>184.2468<>174.0367<>159.6496<>160.5778<>155.4727<>161.0419<>159.6496<>159.1855<>156.8651<>150.8318<>148.0472<>142.0139<>137.3729<>141.0857<>135.9807<>132.2679<>134.1243<>120.6654
55,3,Nilotinib (AMN-107),258.0384<>256.182<>291.4534<>360.604<>391.6985<>445.0698<>491.9436<>519.3254<>569.4479<>615.3936<>643.7036<>709.1414<>715.1747<>712.8542<>706.3568<>674.7982<>704.9645<>724.4566<>685.0083<>714.2465<>733.7386<>629.7807<>685.4724<>601.4707<>573.6248
56,3,Entecavir Hydrate,202.3466<>205.1312<>249.6846<>285.8842<>336.935<>393.5549<>437.1801<>501.2256<>540.6739<>589.8683<>616.7859<>684.0801<>712.8542<>736.9872<>727.2412<>655.7701<>690.1134<>701.2517<>664.1239<>598.222<>575.4813<>548.0995<>553.6686<>527.6791<>525.8228
57,3,Sunitinib Malate,257.1102<>220.9105<>225.0874<>242.7231<>252.9333<>263.1434<>275.6741<>284.4919<>285.4201<>284.4919<>297.9508<>301.6635<>297.0226<>290.5252<>275.6741<>275.21<>289.1329<>283.5638<>277.9946<>288.6688<>283.5638<>273.8177<>277.0664<>280.7791<>277.9946
58,3,Avagacestat (BMS-708163),221.8387<>234.3694<>274.7459<>327.1889<>369.8859<>429.7545<>486.8386<>536.0329<>563.4147<>626.9961<>673.8699<>721.6721<>744.8769<>753.2307<>723.9925<>789.4303<>811.707<>741.6282<>618.6423<>581.0504<>621.891<>601.9348<>588.0119<>611.2167<>569.4479
59,3,Elesclomol (STA-4783),230.1925<>239.0103<>245.0436<>277.5305<>295.6303<>354.1066<>383.8089<>414.9034<>448.3185<>468.2747<>503.5461<>524.8946<>592.6528<>575.4813<>618.6423<>632.5652<>665.0521<>654.842<>607.504<>602.3989<>652.9855<>667.3726<>681.7596<>592.1888<>589.8683
60,3,Altretamine,219.5182<>229.7284<>277.5305<>325.7966<>363.3885<>429.7545<>494.2641<>557.3814<>600.0784<>674.334<>672.0135<>754.623<>744.8769<>779.6843<>735.595<>734.6667<>797.7841<>756.9435<>721.2079<>709.6055<>645.56<>686.4006<>644.6318<>622.8192<>668.7649
61,3,GDC-0941,264.9998<>247.3641<>256.6461<>270.1049<>277.0664<>288.2047<>305.3763<>301.6635<>321.6198<>326.7248<>334.1504<>345.2887<>348.0733<>354.5707<>361.9962<>379.1679<>407.4778<>424.1854<>426.5059<>431.1468<>433.0032<>446.9261<>467.8105<>452.9594<>443.6775
62,3,Bumetanide,244.1154<>247.8282<>291.9175<>337.3991<>403.301<>477.0925<>561.0942<>487.3026<>678.0468<>718.4233<>765.7613<>820.989<>865.0782<>823.3094<>809.3865<>733.2745<>723.9925<>691.5057<>691.0416<>721.6721<>658.0906<>684.5442<>610.2886<>571.7684<>582.4427
63,3,SB216763,226.9438<>248.7564<>278.4586<>322.0839<>354.1066<>426.0417<>492.4077<>549.4918<>611.6808<>698.4672<>735.1309<>777.8279<>833.9837<>842.8016<>820.989<>829.3427<>898.4933<>829.3427<>800.5687<>794.0713<>786.6457<>711.926<>708.2132<>685.4724<>727.2412
64,3,FT-207 (NSC 148958),230.1925<>236.6899<>282.1714<>326.7248<>379.632<>455.744<>522.5741<>572.2325<>645.56<>687.7929<>737.4514<>770.4023<>783.397<>830.2709<>807.9942<>710.0696<>660.8752<>591.2606<>574.0889<>583.3709<>571.3044<>568.0557<>560.166<>466.4182<>528.1432
65,3,Iniparib (BSI-201),250.1487<>274.7459<>326.2607<>374.5269<>413.9752<>485.9104<>552.2764<>633.9576<>662.7316<>717.0311<>694.7543<>733.2745<>818.2043<>735.1309<>747.1974<>734.2027<>654.842<>636.278<>649.7369<>619.1064<>613.0732<>563.8788<>587.0837<>571.3044<>564.807
66,3,Dexamethasone (DHAP),261.7511<>270.569<>316.5147<>354.1066<>407.0137<>454.8158<>523.5023<>593.5811<>652.0574<>702.644<>705.8927<>733.2745<>793.6072<>761.5844<>719.8156<>724.4566<>721.2079<>641.8472<>626.0679<>541.6021<>547.6354<>526.2869<>496.5846<>522.5741<>511.4357
67,3,Quisinostat (JNJ-26481585),193.9929<>207.4517<>233.9053<>242.7231<>240.4026<>243.1872<>247.3641<>244.5795<>235.2976<>212.5568<>186.1032<>156.8651<>128.5551<>104.422<>77.04023<>51.05075<>36.66372<>29.70226<>21.8126<>15.77932<>11.60244<>6.033271<>3.712782<>2.784587<>1.392293
68,3,Fluoxetine HCl,244.5795<>269.1767<>319.7634<>368.4936<>412.5829<>478.9489<>548.0995<>600.0784<>649.7369<>685.9365<>688.7211<>744.4128<>757.4075<>782.0048<>817.7403<>753.6948<>779.2202<>811.707<>758.7999<>705.4286<>687.3288<>702.644<>662.7316<>657.1624<>619.5705
69,3,LY294002,265.4639<>277.0664<>314.1942<>357.8194<>412.1188<>478.9489<>521.6459<>570.3762<>615.3936<>674.7982<>648.3446<>711.4619<>743.9487<>754.1589<>742.0923<>799.6404<>787.5739<>825.1658<>782.9329<>796.8559<>738.8436<>732.3463<>710.0696<>632.5652<>625.1397
70,3,Ivermectin,234.3694<>256.6461<>284.4919<>349.9297<>391.2344<>469.2029<>532.7842<>601.4707<>659.4829<>675.2623<>734.2027<>776.8997<>802.8892<>811.2429<>758.3358<>750.9102<>808.9224<>730.954<>808.9224<>792.2149<>678.975<>726.313<>588.476<>651.1292<>661.8034
71,3,SGI-1027,256.182<>284.956<>318.8352<>332.294<>350.8579<>397.7318<>428.3622<>480.8053<>568.0557<>588.9401<>645.56<>678.975<>692.8979<>730.954<>686.8647<>708.2132<>686.4006<>663.6598<>668.3008<>707.7491<>620.0346<>606.5758<>623.7474<>588.476<>622.3551
72,3,ZCL278,219.5182<>234.3694<>256.6461<>320.6916<>360.604<>427.8981<>497.0487<>554.1328<>603.3271<>656.2343<>706.8209<>747.6615<>733.2745<>818.6685<>785.7175<>807.066<>872.0397<>840.9451<>725.8489<>791.7508<>697.5389<>735.595<>712.8542<>710.5337<>662.7316
73,3,GSK690693,236.2258<>241.3308<>276.1382<>333.2222<>370.8141<>406.0855<>454.3517<>497.5128<>542.0662<>579.194<>620.4987<>626.532<>655.306<>660.4111<>713.3183<>640.919<>671.0854<>668.3008<>668.7649<>695.6826<>668.3008<>705.8927<>687.3288<>747.1974<>726.313
74,3,GSK1059615,193.9929<>193.9929<>204.6671<>235.2976<>261.7511<>278.9228<>303.5199<>329.9735<>355.4989<>368.0295<>391.6985<>387.9857<>424.1854<>435.7878<>432.5391<>441.357<>468.2747<>453.4235<>456.2081<>454.8158<>457.1363<>463.6337<>479.413<>484.054<>474.3079
75,3,TW-37,289.1329<>277.0664<>300.7354<>331.3658<>355.0348<>369.8859<>392.6267<>396.3395<>405.1573<>400.9805<>391.6985<>392.6267<>383.3448<>372.6705<>349.4656<>342.5042<>338.3273<>326.7248<>304.9122<>302.5917<>282.1714<>277.0664<>265.4639<>272.4254<>257.1102
76,3,Cefoselis Sulfate,268.2485<>283.5638<>324.4043<>383.3448<>438.1083<>484.5181<>562.9506<>637.2062<>676.6545<>693.8262<>669.6931<>691.5057<>771.7946<>664.588<>594.9733<>691.5057<>602.863<>559.2378<>652.9855<>604.2553<>569.4479<>541.6021<>543.9226<>520.2536<>557.3814
77,3,Malotilate,285.4201<>263.1434<>318.3711<>368.0295<>451.103<>506.3307<>594.5092<>634.4216<>685.9365<>692.8979<>711.4619<>730.4899<>787.1098<>775.5074<>708.2132<>734.6667<>708.2132<>684.5442<>618.1782<>570.3762<>559.2378<>557.8455<>539.2816<>545.779<>526.2869
78,3,Meropenem,293.7739<>298.4149<>345.2887<>401.9087<>454.3517<>522.11<>594.0452<>658.5547<>702.1799<>721.2079<>735.1309<>779.2202<>803.8173<>771.3305<>616.3218<>666.4444<>633.4935<>730.954<>577.8017<>532.3201<>610.7527<>537.8893<>501.6897<>540.6739<>545.3149
79,3,SNS-032 (BMS-387032),261.287<>246.4359<>239.4744<>240.8667<>239.4744<>236.2258<>228.8002<>231.5848<>229.2643<>231.1207<>224.6233<>233.9053<>233.9053<>223.231<>218.59<>214.8773<>207.4517<>213.0209<>207.9158<>199.0979<>193.0647<>193.9929<>186.5673<>180.534<>170.788
80,3,Oxcarbazepine,281.2433<>292.3816<>328.1171<>377.7756<>434.8596<>511.4357<>591.7247<>620.0346<>665.0521<>713.7823<>758.3358<>714.7106<>704.0363<>682.6878<>653.4496<>644.6318<>636.7421<>559.2378<>516.0767<>548.0995<>532.7842<>517.9331<>554.1328<>465.4901<>492.4077
81,3,Capecitabine ,297.9508<>312.3378<>355.0348<>419.0803<>479.413<>547.6354<>634.8857<>682.6878<>732.3463<>746.2692<>734.6667<>757.4075<>725.3848<>727.2412<>624.2115<>602.3989<>642.3113<>562.4865<>572.2325<>536.497<>500.7615<>481.7335<>539.2816<>501.2256<>563.4147
